EmployeeID,Age,Department,DistanceFromHome,EducationField,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,YearsAtCompany,OverTime,Attrition
1,41,Sales,1,Life Sciences,Research Director,Medium,69751,2,8,No,No
2,35,Marketing,9,Human Resources,Sales Representative,Low,16485,2,11,Yes,Yes
3,43,Sales,7,Life Sciences,Research Scientist,Medium,21605,1,1,No,Yes
4,52,Finance,13,Technical Degree,Manager,Low,69301,0,4,Yes,No
5,34,Finance,9,Other,Human Resources,Low,48776,2,12,Yes,Yes
6,34,Research & Development,7,Marketing,Manufacturing Director,Medium,129339,1,3,No,No
7,52,Research & Development,11,Medical,Human Resources,Medium,37578,1,0,No,Yes
8,44,Research & Development,1,Life Sciences,Research Scientist,Medium,84983,1,3,Yes,Yes
9,32,Finance,9,Medical,Research Scientist,High,14346,3,2,No,No
10,42,Sales,1,Human Resources,Human Resources,High,17912,6,4,No,No
11,32,Sales,25,Marketing,Sales Representative,Medium,56826,2,2,No,No
12,32,Research & Development,1,Marketing,Sales Representative,Medium,15211,0,0,No,No
13,39,Marketing,5,Life Sciences,Sales Executive,Medium,32902,1,25,No,Yes
14,18,Sales,11,Other,Manager,High,65095,2,3,No,No
15,19,Finance,6,Marketing,Sales Representative,Low,46657,5,3,No,Yes
16,31,Human Resources,1,Life Sciences,Manager,Low,36517,4,15,No,No
17,26,Human Resources,8,Life Sciences,Manager,High,29011,1,0,No,No
18,40,Human Resources,10,Medical,Research Scientist,Medium,40179,2,1,No,No
19,27,Marketing,12,Marketing,Manager,Low,48466,4,8,Yes,Yes
20,22,Research & Development,4,Life Sciences,Manufacturing Director,Medium,26096,3,1,Yes,No
21,51,Finance,8,Medical,Human Resources,High,43733,2,8,Yes,No
22,34,Marketing,5,Technical Degree,Sales Executive,High,62268,2,1,No,Yes
23,37,Finance,11,Medical,Research Director,High,32492,2,0,No,No
24,22,Finance,8,Medical,Healthcare Representative,Medium,37573,0,3,No,No
25,31,Research & Development,7,Life Sciences,Sales Executive,Medium,46253,5,1,No,No
26,38,Human Resources,2,Human Resources,Manufacturing Director,High,47842,3,7,No,No
27,25,Research & Development,1,Human Resources,Sales Executive,High,56343,3,5,No,No
28,40,Marketing,1,Other,Manager,Medium,21868,2,12,No,No
29,30,Marketing,1,Human Resources,Research Scientist,High,27876,5,7,Yes,Yes
30,34,Marketing,5,Medical,Healthcare Representative,Low,28397,2,0,Yes,No
31,30,Research & Development,9,Other,Sales Representative,Medium,23110,2,8,No,No
32,55,Finance,2,Life Sciences,Research Scientist,Medium,14776,2,5,No,No
33,36,Finance,27,Marketing,Manager,Medium,7134,0,5,No,Yes
34,26,Sales,1,Medical,Manager,High,66020,3,8,Yes,No
35,45,Marketing,14,Medical,Healthcare Representative,Low,16698,4,4,Yes,No
36,24,Finance,9,Other,Healthcare Representative,Medium,79479,1,3,No,Yes
37,39,Sales,4,Life Sciences,Laboratory Technician,High,52559,4,5,No,No
38,18,Finance,1,Technical Degree,Research Scientist,High,29648,3,1,No,No
39,23,Marketing,9,Medical,Sales Representative,Low,49424,2,1,No,Yes
40,38,Human Resources,4,Technical Degree,Sales Executive,Medium,44916,5,4,No,No
41,44,Marketing,27,Technical Degree,Manager,Medium,20933,3,1,No,No
42,38,Research & Development,7,Human Resources,Manager,Low,36044,2,0,No,No
43,35,Finance,28,Life Sciences,Laboratory Technician,High,22249,4,0,No,No
44,33,Finance,2,Technical Degree,Research Scientist,High,50365,2,4,No,No
45,22,Research & Development,12,Life Sciences,Research Scientist,Low,25397,2,2,No,Yes
46,29,Research & Development,9,Human Resources,Human Resources,Low,34602,3,6,No,Yes
47,32,Human Resources,13,Life Sciences,Healthcare Representative,Low,33863,5,2,Yes,No
48,47,Finance,2,Medical,Sales Representative,High,38591,2,3,No,No
49,40,Finance,10,Technical Degree,Healthcare Representative,Low,83389,2,2,No,No
50,19,Human Resources,6,Life Sciences,Sales Representative,Medium,32193,2,5,Yes,No
51,40,Sales,13,Marketing,Manufacturing Director,Medium,66766,4,2,No,No
52,33,Human Resources,3,Life Sciences,Research Director,Medium,46165,4,16,Yes,Yes
53,30,Marketing,22,Technical Degree,Sales Representative,Low,73806,1,13,No,No
54,43,Finance,1,Human Resources,Healthcare Representative,Medium,30662,1,9,No,No
55,47,Research & Development,16,Human Resources,Manager,High,51434,1,12,Yes,Yes
56,46,Marketing,19,Technical Degree,Healthcare Representative,High,35255,0,2,No,No
57,28,Finance,16,Medical,Sales Representative,High,8146,5,3,No,No
58,33,Human Resources,7,Medical,Research Scientist,Low,21058,0,6,No,No
59,40,Marketing,5,Human Resources,Healthcare Representative,Medium,48590,3,5,No,No
60,46,Finance,50,Human Resources,Laboratory Technician,Medium,47010,4,11,No,Yes
61,32,Sales,2,Technical Degree,Human Resources,Medium,19006,3,6,No,Yes
62,35,Sales,7,Medical,Manager,High,40545,1,30,No,No
63,25,Research & Development,11,Human Resources,Laboratory Technician,Medium,46706,3,2,Yes,No
64,25,Finance,12,Medical,Sales Representative,Low,35691,2,8,No,Yes
65,45,Sales,2,Human Resources,Manufacturing Director,High,52282,2,5,Yes,No
66,50,Human Resources,10,Life Sciences,Laboratory Technician,High,48838,1,5,No,No
67,36,Finance,17,Marketing,Research Director,Low,35682,2,1,No,Yes
68,47,Human Resources,1,Other,Manufacturing Director,Medium,28129,3,7,Yes,Yes
69,40,Human Resources,24,Life Sciences,Sales Executive,Medium,61161,3,11,No,No
70,30,Sales,1,Other,Manager,Medium,45779,3,1,Yes,No
71,40,Finance,4,Human Resources,Sales Executive,Low,18201,1,4,No,No
72,52,Marketing,1,Marketing,Healthcare Representative,Medium,40556,5,2,No,No
73,36,Sales,1,Marketing,Sales Representative,High,20424,3,22,No,No
74,52,Sales,24,Human Resources,Manager,Medium,22420,2,3,No,No
75,18,Finance,4,Human Resources,Research Scientist,Low,26213,2,1,No,Yes
76,45,Finance,5,Medical,Manufacturing Director,Medium,37139,5,2,No,No
77,37,Human Resources,2,Human Resources,Research Scientist,Medium,43793,3,5,No,No
78,34,Finance,9,Technical Degree,Sales Executive,High,29599,4,0,No,No
79,37,Human Resources,9,Human Resources,Laboratory Technician,Medium,30254,3,4,No,No
80,18,Sales,4,Technical Degree,Laboratory Technician,Low,28236,5,13,No,No
81,34,Research & Development,4,Human Resources,Sales Representative,Low,61313,2,9,No,No
82,40,Marketing,21,Medical,Sales Executive,High,8721,7,0,No,Yes
83,51,Sales,4,Technical Degree,Human Resources,Medium,31121,4,25,No,No
84,31,Finance,6,Life Sciences,Manager,High,78628,1,5,No,No
85,28,Marketing,3,Technical Degree,Manufacturing Director,Medium,47033,1,0,Yes,No
86,31,Research & Development,15,Medical,Laboratory Technician,Medium,68420,2,0,No,No
87,46,Research & Development,5,Other,Laboratory Technician,Medium,13132,2,0,No,Yes
88,40,Human Resources,7,Technical Degree,Research Scientist,High,19513,3,9,No,No
89,31,Marketing,2,Human Resources,Research Scientist,High,46958,3,0,No,No
90,42,Human Resources,43,Human Resources,Healthcare Representative,Medium,78851,2,1,No,No
91,37,Sales,3,Other,Human Resources,Medium,20524,3,7,No,Yes
92,46,Marketing,14,Medical,Research Scientist,Low,29915,3,4,No,No
93,29,Sales,5,Marketing,Research Scientist,Medium,44388,2,7,No,No
94,33,Human Resources,2,Human Resources,Manager,Medium,17566,4,6,Yes,No
95,33,Marketing,16,Life Sciences,Research Scientist,High,47138,2,0,No,No
96,22,Human Resources,4,Medical,Manufacturing Director,High,9529,6,11,No,Yes
97,39,Marketing,20,Technical Degree,Manager,Medium,46449,8,1,No,No
98,39,Human Resources,24,Technical Degree,Healthcare Representative,Medium,22080,2,4,Yes,No
99,37,Research & Development,19,Life Sciences,Sales Executive,High,29033,5,5,Yes,No
100,34,Human Resources,1,Human Resources,Manager,High,50309,2,0,Yes,No
101,22,Research & Development,15,Medical,Sales Executive,Low,45416,5,18,Yes,Yes
102,32,Human Resources,5,Life Sciences,Laboratory Technician,Medium,36170,3,3,No,No
103,33,Marketing,20,Human Resources,Healthcare Representative,Medium,58954,2,0,No,No
104,28,Marketing,10,Medical,Healthcare Representative,Medium,15520,3,13,No,No
105,35,Marketing,17,Technical Degree,Manager,Low,40223,1,4,No,No
106,41,Finance,6,Medical,Research Director,Low,24462,3,6,No,Yes
107,55,Sales,7,Other,Healthcare Representative,Medium,57469,0,3,No,No
108,38,Marketing,1,Marketing,Sales Executive,Medium,51201,1,9,No,No
109,39,Research & Development,15,Medical,Healthcare Representative,Low,52139,2,0,No,Yes
110,36,Marketing,5,Marketing,Laboratory Technician,Medium,82676,2,1,No,No
111,18,Finance,6,Medical,Manufacturing Director,High,63778,0,3,No,No
112,36,Research & Development,15,Marketing,Research Director,High,33566,0,0,Yes,Yes
113,37,Finance,9,Other,Sales Representative,Medium,36292,3,6,No,Yes
114,61,Research & Development,2,Technical Degree,Healthcare Representative,Medium,49043,3,2,No,No
115,35,Human Resources,8,Human Resources,Research Scientist,High,38874,1,1,No,No
116,40,Sales,5,Marketing,Manager,Medium,51667,3,0,No,No
117,36,Sales,6,Other,Manager,Medium,11906,5,6,No,Yes
118,25,Finance,1,Marketing,Manager,Medium,93004,4,8,Yes,No
119,48,Sales,2,Technical Degree,Human Resources,Low,37440,0,2,No,No
120,44,Finance,3,Marketing,Research Director,Medium,16135,1,4,Yes,Yes
121,44,Finance,12,Other,Research Director,High,22996,3,1,No,Yes
122,27,Finance,1,Other,Sales Executive,Medium,12523,3,4,No,No
123,51,Sales,5,Life Sciences,Healthcare Representative,Medium,21054,2,0,Yes,No
124,22,Finance,25,Technical Degree,Sales Representative,High,33822,7,3,No,No
125,42,Sales,1,Life Sciences,Manager,Low,77447,1,5,Yes,Yes
126,58,Finance,7,Technical Degree,Healthcare Representative,Medium,44593,4,12,Yes,No
127,27,Marketing,15,Marketing,Research Director,Medium,40799,2,2,No,Yes
128,31,Finance,28,Other,Laboratory Technician,Medium,20587,3,7,Yes,No
129,37,Research & Development,13,Life Sciences,Manager,Low,24046,1,4,No,No
130,31,Finance,12,Marketing,Healthcare Representative,Medium,24997,6,13,Yes,No
131,21,Human Resources,17,Other,Research Director,Medium,25512,5,2,Yes,Yes
132,37,Finance,5,Technical Degree,Manufacturing Director,Medium,30461,2,1,No,Yes
133,26,Research & Development,16,Other,Research Director,Medium,31634,4,10,No,No
134,41,Research & Development,1,Marketing,Research Scientist,Medium,30652,0,0,Yes,No
135,27,Sales,25,Life Sciences,Human Resources,Low,25960,3,0,No,Yes
136,52,Marketing,5,Life Sciences,Human Resources,Medium,38852,2,0,No,Yes
137,29,Finance,8,Other,Manager,Low,31032,4,9,No,No
138,33,Sales,2,Marketing,Manufacturing Director,High,16353,2,0,Yes,Yes
139,45,Marketing,13,Medical,Manufacturing Director,Medium,36945,3,9,No,No
140,24,Finance,1,Technical Degree,Manager,Medium,34256,6,3,No,Yes
141,39,Human Resources,20,Technical Degree,Healthcare Representative,High,16484,2,0,Yes,No
142,50,Finance,17,Marketing,Manager,Medium,27020,3,2,No,No
143,20,Research & Development,2,Medical,Sales Representative,Medium,48949,2,1,No,No
144,38,Research & Development,16,Life Sciences,Sales Representative,High,20573,5,4,No,Yes
145,39,Human Resources,15,Human Resources,Human Resources,High,19514,3,5,No,No
146,44,Sales,10,Human Resources,Research Director,Medium,30870,3,3,No,No
147,24,Marketing,4,Marketing,Manager,Low,49586,4,0,No,No
148,23,Finance,3,Medical,Manager,Medium,89784,3,5,No,Yes
149,42,Research & Development,2,Medical,Healthcare Representative,High,50486,8,9,No,No
150,39,Sales,3,Technical Degree,Sales Executive,Low,62468,4,6,No,Yes
151,39,Human Resources,23,Life Sciences,Human Resources,Medium,43189,1,8,No,No
152,40,Research & Development,1,Other,Human Resources,High,25782,3,1,No,No
153,30,Human Resources,17,Medical,Human Resources,Low,50304,0,10,No,No
154,39,Finance,4,Other,Research Director,High,34793,2,1,Yes,Yes
155,39,Marketing,7,Human Resources,Laboratory Technician,Medium,43849,2,0,No,Yes
156,29,Research & Development,15,Other,Sales Executive,Medium,22628,1,9,No,No
157,55,Research & Development,21,Life Sciences,Research Director,Low,45854,3,14,No,No
158,41,Finance,4,Life Sciences,Sales Representative,High,34191,3,5,No,No
159,25,Sales,6,Other,Healthcare Representative,Medium,40767,3,1,No,Yes
160,43,Marketing,5,Marketing,Sales Representative,Medium,34803,0,1,Yes,No
161,27,Research & Development,1,Medical,Manufacturing Director,Medium,31615,3,3,No,No
162,44,Marketing,3,Marketing,Human Resources,High,46274,5,11,Yes,No
163,48,Research & Development,6,Other,Research Scientist,High,29642,2,0,No,No
164,28,Marketing,5,Medical,Human Resources,Medium,16410,1,8,No,No
165,46,Human Resources,12,Technical Degree,Human Resources,Medium,14228,2,1,Yes,Yes
166,41,Research & Development,4,Marketing,Healthcare Representative,High,39823,3,8,No,No
167,45,Marketing,6,Marketing,Sales Executive,Medium,29038,5,12,No,No
168,55,Sales,5,Other,Sales Representative,Medium,15297,1,2,No,Yes
169,34,Human Resources,13,Human Resources,Manufacturing Director,Low,38302,0,2,No,Yes
170,29,Human Resources,19,Other,Human Resources,High,34650,2,8,Yes,No
171,28,Sales,7,Marketing,Manager,Medium,28288,4,3,Yes,No
172,28,Marketing,15,Medical,Laboratory Technician,Medium,41085,1,5,No,No
173,36,Finance,3,Human Resources,Manager,Medium,70090,5,4,No,No
174,40,Sales,7,Other,Manager,Low,69029,2,0,No,Yes
175,39,Marketing,4,Other,Healthcare Representative,Medium,39022,1,9,Yes,Yes
176,45,Sales,5,Marketing,Research Scientist,Low,34809,2,1,No,No
177,37,Sales,13,Marketing,Research Scientist,Medium,39295,5,13,No,No
